<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	09:00:00	3418.912	3419.429	3414.777	3415.811	225	2670	1
2018.01.02	09:01:00	3415.811	3416.328	3412.193	3412.710	205	2440	1
2018.01.02	09:02:00	3412.710	3414.260	3406.508	3409.092	277	1955	1
2018.01.02	09:03:00	3409.092	3410.642	3404.957	3409.609	218	1830	1
2018.01.02	09:04:00	3409.092	3409.609	3406.508	3407.024	84	780	1
2018.01.02	09:05:00	3407.024	3411.159	3407.024	3411.159	125	920	1
2018.01.02	09:06:00	3411.676	3411.676	3409.609	3410.642	115	895	1
2018.01.02	09:07:00	3410.642	3413.226	3410.642	3413.226	84	775	1
2018.01.02	09:08:00	3413.226	3414.777	3411.676	3413.743	145	930	1
2018.01.02	09:09:00	3413.743	3413.743	3412.710	3413.226	73	595	1
2018.01.02	09:10:00	3413.743	3413.743	3412.710	3413.226	83	550	1
2018.01.02	09:11:00	3413.226	3413.743	3412.193	3412.710	21	250	1
2018.01.02	09:12:00	3412.710	3413.743	3410.642	3410.642	111	740	1
2018.01.02	09:13:00	3410.642	3411.676	3410.642	3411.676	92	490	1
2018.01.02	09:14:00	3411.676	3411.676	3410.642	3410.642	67	520	1
2018.01.02	09:15:00	3410.642	3410.642	3409.092	3409.092	137	1030	1
2018.01.02	09:16:00	3409.609	3409.609	3406.508	3407.024	166	1655	1
2018.01.02	09:17:00	3407.024	3408.575	3406.508	3406.508	68	490	1
2018.01.02	09:18:00	3407.024	3408.058	3406.508	3407.024	147	1185	1
2018.01.02	09:19:00	3407.541	3409.092	3407.541	3408.575	53	310	1
2018.01.02	09:20:00	3409.092	3410.642	3409.092	3410.125	83	690	1
2018.01.02	09:21:00	3410.642	3411.676	3410.642	3410.642	25	165	1
2018.01.02	09:22:00	3411.159	3411.159	3408.058	3408.058	91	725	1
2018.01.02	09:23:00	3408.575	3409.609	3407.541	3408.575	120	1620	1
2018.01.02	09:24:00	3408.575	3409.609	3408.058	3409.609	60	505	1
2018.01.02	09:25:00	3409.609	3410.642	3409.609	3410.125	70	605	1
2018.01.02	09:26:00	3410.125	3410.642	3409.092	3409.092	33	240	1
2018.01.02	09:27:00	3409.609	3410.642	3409.609	3410.642	64	425	1
2018.01.02	09:28:00	3410.125	3411.159	3410.125	3410.125	37	310	1
2018.01.02	09:29:00	3410.125	3410.125	3410.125	3410.125	8	40	1
2018.01.02	09:30:00	3409.609	3410.125	3408.058	3408.058	79	605	1
2018.01.02	09:31:00	3408.575	3409.092	3408.058	3409.092	40	235	1
2018.01.02	09:32:00	3409.092	3409.092	3408.575	3409.092	31	260	1
2018.01.02	09:33:00	3409.092	3409.092	3409.092	3409.092	21	130	1
2018.01.02	09:34:00	3408.575	3408.575	3405.991	3406.508	101	1320	1
2018.01.02	09:35:00	3406.508	3406.508	3404.440	3406.508	129	1030	1
2018.01.02	09:36:00	3406.508	3407.024	3405.991	3405.991	7	50	1
2018.01.02	09:37:00	3406.508	3406.508	3405.474	3405.474	23	115	1
2018.01.02	09:38:00	3405.991	3406.508	3404.957	3405.474	91	635	1
2018.01.02	09:39:00	3405.474	3405.474	3404.440	3404.957	80	675	1
2018.01.02	09:40:00	3404.957	3404.957	3404.957	3404.957	30	235	1
2018.01.02	09:41:00	3404.957	3405.474	3404.957	3404.957	31	245	1
2018.01.02	09:42:00	3404.957	3405.474	3404.957	3405.474	19	170	1
2018.01.02	09:43:00	3405.474	3405.474	3403.406	3403.923	133	1075	1
2018.01.02	09:44:00	3403.923	3403.923	3403.406	3403.406	46	270	1
2018.01.02	09:45:00	3403.406	3403.923	3403.406	3403.923	15	145	1
2018.01.02	09:46:00	3403.923	3403.923	3401.856	3402.373	120	810	1
2018.01.02	09:47:00	3402.890	3402.890	3402.373	3402.373	16	130	1
2018.01.02	09:48:00	3402.373	3403.406	3402.373	3403.406	49	400	1
2018.01.02	09:49:00	3403.406	3403.406	3402.890	3402.890	15	140	1
2018.01.02	09:50:00	3403.406	3403.923	3403.406	3403.923	68	510	1
2018.01.02	09:51:00	3403.923	3403.923	3401.339	3401.856	129	1165	1
2018.01.02	09:52:00	3401.856	3402.890	3401.339	3401.339	118	995	1
2018.01.02	09:53:00	3401.339	3401.339	3399.789	3400.822	107	865	1
2018.01.02	09:54:00	3400.822	3400.822	3399.789	3399.789	26	210	1
2018.01.02	09:55:00	3400.305	3400.305	3399.272	3399.789	67	455	1
2018.01.02	09:56:00	3399.789	3399.789	3399.789	3399.789	23	185	1
2018.01.02	09:57:00	3399.789	3400.305	3399.272	3400.305	37	270	1
2018.01.02	09:58:00	3399.789	3400.305	3399.789	3400.305	23	195	1
2018.01.02	09:59:00	3400.822	3402.373	3400.822	3402.373	92	1165	1
2018.01.02	10:00:00	3402.373	3402.890	3401.339	3402.373	32	230	1
2018.01.02	10:01:00	3402.373	3402.890	3401.856	3402.373	75	1300	1
2018.01.02	10:02:00	3402.373	3402.890	3401.856	3401.856	49	295	1
2018.01.02	10:03:00	3401.856	3402.890	3401.856	3402.890	92	1640	1
2018.01.02	10:04:00	3402.373	3402.373	3401.856	3402.373	10	65	1
2018.01.02	10:05:00	3401.856	3402.373	3401.339	3401.856	33	1195	1
2018.01.02	10:06:00	3401.339	3401.339	3400.305	3400.305	106	895	1
2018.01.02	10:07:00	3400.305	3400.822	3399.789	3399.789	103	1100	1
2018.01.02	10:08:00	3400.305	3401.339	3399.789	3400.822	54	425	1
2018.01.02	10:09:00	3400.822	3400.822	3399.789	3399.789	21	180	1
